Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
---------------------------------
| rollout/           |          |
|    time_elapsed         | 405        |
|    total_timesteps      | 94208      |
| train/                  |            |
|    approx_kl            | 0.01614234 |
|    clip_fraction        | 0.194      |
|    clip_range           | 0.2        |
|    entropy_loss         | -9.28      |
|    explained_variance   | 0.824      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.228      |
|    n_updates            | 450        |
|    policy_gradient_loss | -0.0235    |
|    std                  | 0.913      |
|    value_loss           | 0.764      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 500        |
|    ep_rew_mean          | 36.3       |
| time/                   |            |
|    fps                  | 232        |
|    iterations           | 47         |
|    time_elapsed         | 413        |
|    total_timesteps      | 96256      |
| train/                  |            |
|    approx_kl            | 0.01663372 |
|    clip_fraction        | 0.183      |
|    clip_range           | 0.2        |
|    entropy_loss         | -9.27      |
|    explained_variance   | 0.85       |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0995     |
|    n_updates            | 460        |
|    policy_gradient_loss | -0.0174    |
|    std                  | 0.91       |
|    value_loss           | 0.633      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 37.3        |
| time/                   |             |
|    fps                  | 232         |
|    iterations           | 48          |
|    time_elapsed         | 422         |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.018309828 |
|    clip_fraction        | 0.207       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.26       |
|    explained_variance   | 0.797       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.256       |
|    n_updates            | 470         |
|    policy_gradient_loss | -0.025      |
|    std                  | 0.91        |
|    value_loss           | 0.709       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 37.8        |
| time/                   |             |
|    fps                  | 232         |
|    iterations           | 49          |
|    time_elapsed         | 431         |
|    total_timesteps      | 100352      |
| train/                  |             |
|    approx_kl            | 0.017375506 |
|    clip_fraction        | 0.196       |
|    clip_range           | 0.2         |
|    entropy_loss         | -9.28       |
|    explained_variance   | 0.718       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.143       |
|    n_updates            | 480         |
|    policy_gradient_loss | -0.0218     |
|    std                  | 0.913       |
|    value_loss           | 0.587       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 500         |
|    ep_rew_mean          | 38.5        |
| time/                   |             |
|    fps                  | 232         |
|    iterations           | 50          |
|    time_elapsed         | 439         |
|    total_timesteps      | 102400      |
| train/                  |             |
|    approx_kl            | 0.018949805 |
|    clip_fraction        | 0.184       |
|    clip_range           | 0.2         |
